Label,SOG,LON,LAT,length,angle_COG,time_difference,velocity(m/s),count,N1_Area,V_Area
2,0,103.76263,1.28908,10.92918758,0,20,0.546459379,2,0.00000138,3.563476563
2,0,103.76268,1.28905,14.57573498,0,21,0.694082618,1,0.00000226,4.182617188
2,0,103.7628,1.28897,36.5875491,0,39,0.938142285,2,0.00000308,9.831054688
2,0,103.7627,1.28905,32.47330961,0,69,0.470627675,1,0.00000246,4.958496094
2,0,103.76262,1.28915,13.12746793,0,41,0.320182145,2,0.00000246,4.6484375
2,0,103.76287,1.2889,47.30556674,0,120,0.394213056,1,0.00000628,17.35791016
2,0,103.76282,1.28907,15.64436343,0,90,0.17382626,4,0.0000016,2.7890625
2,0,103.76272,1.289,35.49717799,0,120,0.295809817,1,0.0000129,29.8984375
2,0,103.7629,1.289,34.24851428,0,131,0.26143904,1,0.00000561,13.20117188
2,0,103.76282,1.28905,13.82973149,-174,130,0.10638255,1,0.00000299,7.6953125
0,0,103.74156,1.27207,6054.902703,105.6,179,33.82627208,1,0.005503443,10000
2,0,103.76293,1.28893,32.09564003,0,69,0.465154203,1,0.0000095,111.1171875
2,0,103.76287,1.28902,5.63056034,0,40,0.140764008,1,0.00000234,4.182617188
2,0,103.76288,1.28893,14.02726077,0,20,0.701363038,1,0.00000455,8.673828125
2,0,103.76278,1.28907,12.578678,12,20,0.6289339,2,0.00000154,2.788574219
2,0,103.76292,1.28903,29.87340518,0,40,0.746835129,1,0.00000264,4.833984375
2,0,103.76285,1.28902,19.46956735,0,60,0.324492789,1,0.00000185,3.71875
2,0,103.76258,1.2892,10.70372754,0,21,0.509701312,1,0.00000379,7.592773438
2,0,103.76255,1.28923,4.717004136,0,19,0.248263376,8,0.00000482,17.046875
2,0,103.76263,1.28923,17.9677139,0,70,0.256681627,2,0.00000185,3.25390625
2,0,103.76265,1.28918,10.45385381,0,40,0.261346345,4,0.00000185,3.71875
2,0.1,103.76267,1.28912,1.111667832,3,60,0.018527797,4,0.00000123,2.7890625
2,0,103.76297,1.289,29.83068913,0,60,0.497178152,2,0.0000121,25.59082031
2,0,103.76265,1.28913,7.153157069,0,21,0.340626527,2,0.00000185,3.71875
2,0,103.76253,1.28927,27.48201943,0,20,1.374100971,1,0.000012,56.20947266
2,0,103.76257,1.28925,16.57817626,0,19,0.872535593,1,0.00000519,9.374023438
2,0.1,103.76262,1.28923,28.43078898,31,130,0.218698377,1,0.00000343,4.647460938
2,0,103.76257,1.28927,16.52802332,0,52,0.317846602,3,0.0000039,7.357910156
2,0,103.76253,1.28925,4.971781209,0,38,0.130836348,2,0.0000215,55.72070313
2,0,103.76257,1.28923,3.795670275,0,30,0.126522343,1,0.00000246,5.578125
2,0,103.76258,1.28915,22.72307366,0,50,0.454461473,2,0.00000226,5.888671875
2,0.1,103.76277,1.28928,17.99020885,55,60,0.299836814,4,0.00000123,4.337890625
2,0,103.76272,1.28928,7.130673502,0,21,0.339555881,1,0.00000082,1.653808594
2,0,103.76273,1.28927,6.289338765,0,31,0.202881896,2,0.00000158,2.556640625
2,0,103.7627,1.2893,10.70482506,0,30,0.356827502,4,0.00000172,6.249511719
2,0,103.76268,1.28925,16.47718355,0,90,0.183079817,1,0.00000172,3.71875
2,0,103.76273,1.2893,26.00998753,0,40,0.650249688,15,0,1.894042969
2,0,103.76273,1.28925,6.670851124,0,30,0.222361704,1,0.00000185,4.027832031
2,0,103.7627,1.28925,13.82436579,0,31,0.445947284,2,0.00000226,4.647949219
2,0,103.76275,1.28933,14.49824027,0,30,0.483274676,1,0.0000032,63.80712891
2,0,103.76277,1.2893,8.893342023,0,19,0.468070633,1,0.00000148,10.22949219
2,0,103.76275,1.28925,17.80670629,0,20,0.890335315,1,0.00000208,4.647949219
2,0,103.76268,1.28933,32.10991649,0,20,1.605495825,1,0.00000756,62.25
2,0,103.76268,1.28927,8.116450604,12,19,0.427181611,1,0.00000325,7.747070313
2,0,103.76252,1.28913,31.48840293,3,50,0.629768059,1,0.0000268,59.61914063
2,0,103.76257,1.28913,6.670288402,0,50,0.133405768,1,0.00000169,4.647460938
2,0,103.76257,1.28912,5.120827158,0,50,0.102416543,1,0.00000297,5.858886719
2,0,103.76255,1.28915,9.995601402,0,20,0.49978007,1,0.00000461,13.94433594
2,0,103.7626,1.28913,26.11994624,0,20,1.305997312,2,0.00000246,6.196289063
2,0,103.76265,1.28903,20.06840564,32,40,0.501710141,1,0.00000995,19.69335938
2,0.1,103.76262,1.28907,18.50392099,-3,40,0.462598025,1,0.00000715,16.05566406
2,0.1,103.76273,1.289,20.48325438,6,41,0.49959157,1,0.0000102,23.81640625
2,0.1,103.76275,1.28905,9.322824651,1,20,0.466141233,1,0.00000345,6.599609375
2,0,103.76262,1.28917,3.335003428,1,20,0.166750171,2,0.00000135,2.788574219
2,0,103.76255,1.28918,37.3139038,151,88,0.424021634,1,0.0000073,35.12695313
2,0.3,103.76293,1.28925,24.85890651,161,92,0.270205506,3,0.00000443,17.96875
